WARNING: 3 open meshes merged
     Merged: H Stabs
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
25 Num Comps
25 Total Num Meshes
36192 Total Num Tris

3.383389293674480e+01             Total Mass
2.167328451183505e+00 3.253086002325105e-06 -1.313950255965561e-01       Center of Gravity
5.997607184590069e+01 5.451853417384251e+02 5.894937048002266e+02       Ixx, Iyy, Izz
-1.861149997680151e-02 -2.576545678093204e-01 6.626067691478325e-02       Ixy, Ixz, Iyz
3.383389293674480e+01             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-7.176426724565642e+00	6.613695875918731e-01	-7.176426724565640e+00	-2.757896699323713e-17	-4.416751089161300e-01	6.210857090905211e-02	4.460652768591937e-01	4.447155411887891e-01	3.895519427616865e-03	-9.373830193533561e-04	1.339073794809540e-03	6.613695875918731e-01
-5.442323651957798e+00	2.062676730656356e+00	-5.998340509532714e+00	-1.081393310053485e-17	-2.782436116287548e-01	3.323973654935821e-01	2.845756165128942e+00	2.773354957872607e+00	1.674599842056560e-02	1.853795045614036e-01	3.152552589481562e-03	2.062676730656356e+00
-3.708220579349955e+00	4.390142648262814e+00	-4.784216843906311e+00	-1.545328816242091e-17	-8.504870119183668e-02	1.137677058994514e+00	1.065098293673194e+01	1.016013786942100e+01	2.521846286250218e-02	1.094033824347105e+00	6.305996859784989e-03	4.390142648262814e+00
-1.974117506742111e+00	7.090780619748155e+00	-3.713945264433733e+00	-5.429180445910088e-17	-6.427511935202705e-02	2.342648181193197e+00	2.584600820015255e+01	2.596120360653629e+01	2.455225335924225e-02	1.343907799156668e+00	8.682835726586194e-03	7.090780619748155e+00
-2.400144341342669e-01	1.037382031463653e+01	-2.614538057902675e+00	-8.167435482009832e-17	-3.195856194056951e-02	4.114496092832487e+00	5.549123650859257e+01	5.636448824567955e+01	2.120517522359782e-02	2.133415640286380e+00	1.188165610284924e-02	1.037382031463653e+01
1.494088638473577e+00	1.665047708708952e+01	-1.065727207354315e+00	-7.581563758600505e-07	-1.080699584516554e-01	1.680989142253668e+01	1.269746364534138e+02	1.374682208059625e+02	1.499031058626758e-02	-1.127994023731636e+00	2.613004612632819e-02	1.665047708708952e+01
3.228191711081420e+00	2.281641062220096e+01	9.466647132845041e-02	4.823918166403414e-06	-1.467487382864732e-01	5.101356207905716e+01	2.150034809866689e+02	2.572952847468998e+02	2.823518250656956e-04	-3.908046069622709e+00	3.996248230852778e-02	2.281641062220096e+01
4.962294783689265e+00	2.679729056546021e+01	8.177785289666256e-01	4.107299483220741e-06	-1.625022208452456e-01	5.283657021521060e+01	2.987049741958301e+02	3.410249613117138e+02	-1.367958648242285e-02	-5.670207791074837e+00	5.478247145831783e-02	2.679729056546021e+01
6.696397856297109e+00	3.135709617053791e+01	1.672620482861099e+00	3.510034765112251e-06	-1.412000292274655e-01	5.665434594826539e+01	4.381390840399102e+02	4.804502349801021e+02	-1.286018217446396e-02	-2.326970652053313e+00	5.829462262482250e-02	3.135709617053791e+01
8.430500928904953e+00	3.383389293674485e+01	2.167328451183497e+00	3.253086002477402e-06	-1.313950255965557e-01	5.997607184590037e+01	5.451853417384241e+02	5.894937048002251e+02	-1.861149997675201e-02	-2.576545678093136e-01	6.626067691478504e-02	3.383389293674485e+01
